rmax	E	rmin	E	acc=eps	E
1	2.34058390753793	0.0625	-0.50047415455598	1	-0.508550200387109
2	-0.127280265451834	0.125	-0.503583059486752	2	-0.51504657421971
3	-0.424755775993289	0.1875	-0.511957181106551	3	-0.520106593597691
4	-0.483673613112257	0.25	-0.528883929297257	4	-0.525613537397982
5	-0.496851745364353	0.3125	-0.559399859140624	5	-0.528404524279482
6	-0.49973369776554	0.375	-0.612111955293139	6	-0.532872144752031
7	-0.500330443833517	0.4375	-0.702582179317942	7	-0.536996701323177
8	-0.500449274040857	0.5	-0.139406292855225	8	-0.540627349877896
9	-0.500470887266204	0.5625	-0.148194635501736	9	-0.541097278422291
