Energy	signal
100	0.0146175509199882
101	0.0158096174525081
102	0.0171535801157924
103	0.0186763665745559
104	0.0204111422525559
105	0.0223991265996737
106	0.0246920570539717
107	0.0273555784726806
108	0.0304739772078002
109	0.0341569050365799
110	0.038549107980234
111	0.0438447958737784
112	0.0503093609264822
113	0.0583130658962029
114	0.0683848574669089
115	0.0813012658234044
116	0.0982390760825367
117	0.121049660283268
118	0.152779003691878
119	0.198718745481339
120	0.268703082920975
121	0.382639179057403
122	0.585554645919127
123	0.995378349006097
124	1.98408817900343
125	4.85713274474379
126	9.06931730323875
127	4.60517189319903
128	1.89919594006611
129	0.962986416769943
130	0.570502709233101
131	0.374566901466768
132	0.263910302923335
133	0.195653037943379
134	0.150704156391605
135	0.119582154880471
136	0.0971638587108493
137	0.0804904141749919
138	0.0677585143393995
139	0.0578193358288205
140	0.0499133557575408
141	0.0435223705806628
142	0.0382831279811713
143	0.0339349414228712
144	0.0302868388391093
145	0.0271963512227384
146	0.0245554596065034
147	0.022281069080322
148	0.0203084179191949
149	0.0185864326558776
150	0.0170743995308713
151	0.0157395428354439
152	0.014555238511329
153	0.0134996795466504
154	0.012554867204688
155	0.0117058402810283
156	0.0109400803237068
157	0.0102470483746316
158	0.00961782102628857
159	0.00904480219295529
