Delta r		Exact result		Numerical result
0.2	0.0923838725233615	0.324724724068282
0.4	0.151275035046624	0.53242117047693
0.6	0.185780285048431	0.654721381854976
0.8	0.202805376912992	0.715657443534739
1	0.207553748710297	0.733373334503946
1.2	0.203916764382888	0.721466618130504
1.4	0.194778413746498	0.690037788759832
1.6	0.182252659851435	0.646509066690366
1.8	0.167867839631959	0.596261655010663
2	0.152709514177164	0.543130301945888
2.2	0.137530773098887	0.489785899384582
2.4	0.12283709828798	0.438030412453571
2.6	0.108951385819502	0.389023306318628
2.8	0.0960635309424972	0.343454587052731
3	0.0842680361055865	0.30167633964166
3.2	0.073592354838538	0.26380210772496
3.4	0.0640180943538469	0.229781427497281
3.6	0.0554967345186449	0.199455248135126
3.8	0.0479611545372534	0.172596701370778
4	0.0413339707081841	0.148940705808139
4.2	0.0355334626138956	0.128205101196871
4.4	0.0304776880627403	0.110105408932026
4.6	0.0260872487042142	0.0943648257907058
4.8	0.0222870602893919	0.0807206924431799
5	0.0190073975569044	0.0689283785921618
5.2	0.0161844185524496	0.058763308651833
5.4	0.0137603227737908	0.0500216700126428
5.6	0.0116832586652256	0.0425202148976013
5.8	0.00990706613557736	0.0360954573433642
6	0.00839091694962892	0.030602490412648
6.2	0.00709889847829064	0.0259135855070969
6.4	0.00599957315835358	0.0219166904165883
6.6	0.00506553614540044	0.0185139077498752
6.8	0.00427298629043312	0.0156200081036059
7	0.00360132014473638	0.0131610165640853
7.2	0.00303275474143707	0.0110728908150091
7.4	0.00255198206150641	0.00930030550088315
7.6	0.00214585609222239	0.00779554095670388
7.8	0.00180311201581332	0.00651748280076469
8	0.00151411616265723	0.00543072094744917
8.2	0.0012706448027524	0.00450475018100063
8.4	0.00106568953664849	0.00371325287772563
8.6	0.00089328691109915	0.00303346538480207
8.8	0.000748369871611908	0.00244560824291307
9	0.000626638733760365	0.00193238361790717
9.2	0.000524449478008333	0.00147851899957009
9.4	0.000438717327300272	0.00107035856231818
9.6	0.000366833737295909	0.000695483052161856
9.8	0.00030659510494883	0.000342358791500517
