N	plain_result	plain_err	quasi_result	quasi_err
10	5.54240331168759	2.423937151707	8.99567380197516	2.0986357392222
210	13.1939934180338	1.18210600543796	12.3272384773451	0.0726208406916102
410	12.3924388936256	0.812498099888093	12.431939056575	0.280174957513289
610	13.0647409066552	0.710688018862445	12.4975493151318	0.254799594841812
810	13.4086304047703	0.628976330579972	12.47898765856	0.0454286214440449
1010	12.6274563049189	0.557013438734497	12.4942483572857	0.103415556219598
1210	12.909937227343	0.497305570225378	12.5271456995732	0.0776314582315722
1410	12.987295297067	0.466755454720121	12.5178106399342	0.0256451911905237
1610	12.5725211016423	0.427810868737404	12.526549128612	0.0524790127729212
1810	12.9420975389247	0.406302943191849	12.5219178593178	0.0115043700634706
2010	12.9632364568472	0.38257654259199	12.5313695955646	0.00321422268168271
2210	12.1991806252207	0.35194313644495	12.5433222343487	0.0238643004651928
2410	13.2093711754504	0.365695803159739	12.5354529863642	0.0206867408541029
2610	13.1289579995234	0.340954300116611	12.5387684048024	0.0367473647661729
2810	12.5149740806491	0.324328904336343	12.5376320079555	0.026070238847443
3010	11.8174973789753	0.299266869671815	12.5508315768265	0.04155427602536
3210	12.2978491948718	0.294608681744002	12.5422390074451	0.0264568774443799
3410	12.0483760092671	0.283111060097541	12.5445556038846	0.0228238175186944
3610	12.2017647648183	0.275441988235302	12.5406364449203	0.0437542341188792
3810	12.4584118169254	0.275890930713228	12.5418747109058	0.0354770059615449
4010	12.7168249133226	0.26958357655826	12.5492666955271	0.0117221165696708
4210	12.7326576868326	0.266778863406025	12.556121236698	0.0184239041199837
4410	12.8359304234126	0.260705207797419	12.5479915343326	0.0098933658276329
4610	12.657375646867	0.252500076937239	12.5537239228715	0.0106402343196127
4810	12.6084265038749	0.24711716838672	12.5511784792968	0.0089291549662951
5010	12.1224474186431	0.23174208523564	12.5490217218883	0.00044868959715503
5210	12.6025457305172	0.233664048263117	12.5503313904642	0.0147689288172397
5410	12.3456320912155	0.226858436169515	12.5507902222243	0.00626117581429327
5610	12.6146138615028	0.225903613543699	12.5503474703101	0.0119154246415672
5810	12.4084977490507	0.220409693615022	12.5535784140367	0.0245103079511245
6010	12.381409323285	0.214616803308049	12.5560629471112	0.0216753322100279
6210	12.4504556707193	0.213219461966221	12.5571523359643	0.0269065485386405
6410	12.6165829352466	0.211696115274049	12.5498696264962	0.00843443051275831
6610	12.215714683315	0.204650856784376	12.5551562831396	0.00307479091863588
6810	12.6826219383616	0.207327417575981	12.5505979409583	0.0101132787408306
7010	12.3378340417915	0.198764187262363	12.5550671668976	0.0201076991544329
7210	12.5481988329457	0.20042240933718	12.5530262918037	0.0134166191349842
7410	12.1525514607385	0.19370020142364	12.5547102559218	0.00635521647807417
7610	12.5773265525417	0.196205774992027	12.5561180264155	0.00161677608457139
7810	12.7021421023648	0.195792385394208	12.559948695404	0.0147067647553005
8010	12.3983680759695	0.1863310340988	12.5585017563929	0.0166170600305453
8210	12.8966319276333	0.190809179909842	12.5588830155213	0.0103136045442903
8410	12.3022778875493	0.184647973243809	12.5597987614869	0.00939778765682097
8610	12.9023745129056	0.184541020898504	12.5575448367338	0.00224654778886159
8810	12.9143008243558	0.18419256038389	12.5566182315026	0.00560793119951664
9010	12.7173359550977	0.180498096206347	12.5544251870821	0.0108563955013283
9210	12.4728057613997	0.17490969175805	12.5568678805144	0.0108703509786213
9410	12.3219541254977	0.172224193231641	12.5586996693087	0.0185283792949816
9610	12.4059149610444	0.170769914582952	12.5584651907807	0.0201782816513127
9810	12.5822702855809	0.171551943929894	12.5572390345342	0.00691894734208206
