##x	cubic 	quartic
-0.95	-40.1212848157994	-40.2228555743682
-0.948	-39.5070226524904	-39.6081058714181
-0.946	-38.8927604891813	-38.9923810891856
-0.944	-38.2784983258723	-38.3756812276709
-0.942	-37.6642361625633	-37.758006286874
-0.94	-37.0499739992542	-37.1393562667948
-0.938	-36.4357118359452	-36.5197311674333
-0.936	-35.8214496726361	-35.8991309887895
-0.934	-35.2071875093271	-35.2775557308635
-0.932	-34.592925346018	-34.6550053936553
-0.93	-33.978663182709	-34.0314799771648
-0.928	-33.3644010194	-33.406979481392
-0.926	-32.7501388560909	-32.7815039063369
-0.924	-32.1358766927819	-32.1550532519996
-0.922	-31.5216145294728	-31.5276275183801
-0.92	-30.9073523661638	-30.8992267054782
-0.918	-30.2930902028547	-30.2698508132942
-0.916	-29.6788280395457	-29.6394998418278
-0.914	-29.0645658762367	-29.0081737910792
-0.912	-28.4503037129276	-28.3758726610483
-0.91	-27.8360415496186	-27.7425964517352
-0.908	-27.2217793863095	-27.1083451631398
-0.906	-26.6075172230005	-26.4731187952622
-0.904	-25.9932550596915	-25.8369173481023
-0.902	-25.3789928963824	-25.1997408216601
-0.9	-24.2164974492181	-24.5615892159356
-0.898	-23.6006918015794	-23.905200776531
-0.896	-22.9848861539407	-23.2504687776065
-0.894	-22.369080506302	-22.5973932191623
-0.892	-21.7532748586633	-21.9459741011984
-0.89	-21.1374692110246	-21.2962114237147
-0.888	-20.5216635633859	-20.6481051867112
-0.886	-19.9058579157472	-20.001655390188
-0.884	-19.2900522681085	-19.356862034145
-0.882	-18.6742466204698	-18.7137251185823
-0.88	-18.0584409728311	-18.0722446434998
-0.878	-17.4426353251924	-17.4324206088976
-0.876	-16.8268296775537	-16.7942530147756
-0.874	-16.211024029915	-16.1577418611338
-0.872	-15.5952183822763	-15.5228871479723
-0.87	-14.9794127346376	-14.8896888752911
-0.868	-14.3636070869989	-14.25814704309
-0.866	-13.7478014393602	-13.6282616513693
-0.864	-13.1319957917215	-13.0000327001287
-0.862	-12.5161901440828	-12.3734601893685
-0.86	-11.9003844964442	-11.7485441190884
-0.858	-11.2845788488055	-11.1252844892886
-0.856	-10.6687732011668	-10.5036812999691
-0.854	-10.0529675535281	-9.88373455112976
-0.852	-9.43716190588936	-9.26544424277069
-0.85	-8.82135625825067	-8.64881037489187
-0.848	-8.20555061061197	-8.0338329474933
-0.846	-7.58974496297327	-7.42051196057497
-0.844	-6.97393931533458	-6.80884741413688
-0.842	-6.35813366769588	-6.19883930817904
-0.84	-5.74232802005718	-5.59048764270145
-0.838	-5.12652237241848	-4.98379241770409
-0.836	-4.51071672477979	-4.37875363318699
-0.834	-3.89491107714109	-3.77537128915012
-0.832	-3.27910542950239	-3.1736453855935
-0.83	-2.6632997818637	-2.57357592251713
-0.828	-2.047494134225	-1.975162899921
-0.826	-1.43168848658631	-1.37840631780511
-0.824	-0.815882838947608	-0.783306176169469
-0.822	-0.20007719130891	-0.189862475014071
-0.82	0.415728456329784	0.40192478566108
-0.818	1.03153410396848	0.992055605855989
-0.816	1.64733975160718	1.58052998557065
-0.814	2.26314539924588	2.16734792480507
-0.812	2.87895104688457	2.75250942355925
-0.81	3.49475669452327	3.33601448183318
-0.808	4.11056234216197	3.91786309962686
-0.806	4.72636798980066	4.49805527694031
-0.804	5.34217363743936	5.0765910137735
-0.802	5.95797928507806	5.65347031012646
-0.8	6.96224686907458	6.22869316599917
-0.798	7.43731655949956	6.7900287719058
-0.796	7.91238624992453	7.34784332003768
-0.794	8.38745594034951	7.9021368103948
-0.792	8.86252563077448	8.45290924297715
-0.79	9.33759532119945	9.00016061778475
-0.788	9.81266501162443	9.54389093481758
-0.786	10.2877347020494	10.0841001940756
